Nome,Descrição,"Preço normal",Imagens
"Spa Spatula (Espátula P/Produtos Spa)",,"3,08",https://biosculpture.pt/wp-content/uploads/2022/04/bio-spatula.png
"Corta Tips",,"6,27",https://biosculpture.pt/wp-content/uploads/2022/04/Corta-Tips.png
"Brush White (Francesa) – No.4",,"17,71","https://biosculpture.pt/wp-content/uploads/2022/04/Brush-White-Francesa-1.png, https://biosculpture.pt/wp-content/uploads/2022/04/Brush-White-Francesa-2.png"
"Corta Extensões de Gel e Unhas","Corta extensões, usado para cortar e encurtar extensões de gel, verniz gel e unhas, afim de alcançar o comprimento desejado.","7,01",https://biosculpture.pt/wp-content/uploads/2022/04/Corta-Extensoes-Unhas.png
"Advanced Nail Form BIO Sculpture (Pack 10unid)","<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/WeEtke9i-XI"" width=""528"" height=""297"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>","1,48","https://biosculpture.pt/wp-content/uploads/2022/04/Advanced-Nail-Form-Bio-Sculpture-Pack-10unid.png, https://biosculpture.pt/wp-content/uploads/2022/04/Advanced-Nail-Form-Bio-Sculpture-Pack-10unid2.png"
"Ultra Catalisador Led/UV","– Revestimento especial para facilitar a limpeza
\n– Opções de 10, 30, 60 e 90 segundos
\n– Design ergonômico e compacto fica bem na sua mesa
\n– A colocação otimizada das lâmpadas e o acabamento interno espelhado garantem uma catalisação uniforme em todos os dedos
\n– 1 ano de garantia
\n– Leve e com a base removível para pedicure
\n– Catalisa todos os tipos de gel
\n– Potência de saída 30W
\n– Comprimento do cabo 1,9 m
\n
\nTecnologia avançada de catalisação para reduzir picos de calor.
\nA Ultra Lamp catalisa todos os geis Bio Sculpture (BIOGEL e EVO). Também catalisa géis que foram elaborados para serem catalisados em lâmpadas UV.
\n
\nNota: A Ultra Lamp tem 30 Watts e não 36 Watts. Isso significa que é menos potente?
\nNão, significa que é uma lâmpada mais eficiente que precisa de menos energia para produzir ainda mais energia – contas de energia mais pequenas – mais potência e melhor colocação do diodo garantem uma catalisação completa e segura, para todos os geis Bio Sculpture (BIOGEL e Evo)","307,50","https://biosculpture.pt/wp-content/uploads/2022/04/ULTRA-CATALISADOR-LEDUV.png, https://biosculpture.pt/wp-content/uploads/2022/04/ULTRA-CATALISADOR-LEDUV2.png, https://biosculpture.pt/wp-content/uploads/2022/04/ULTRA-CATALISADOR-LEDUV3.png, https://biosculpture.pt/wp-content/uploads/2022/04/ULTRA-CATALISADOR-LEDUV4.png, https://biosculpture.pt/wp-content/uploads/2022/04/ULTRA-CATALISADOR-LEDUV5.png"
"Alicate Cutícula Bio/Solinger 10cm/3mm (Aço Inox)","Use o Alicate Cutícula para remover unhas encravadas, com crescimento incorrecto e cortar as péles secas, mortas. Nunca corte o tecido vivo na área da cutícula, pois ele irá crescer mais, mais rápido, mais duro e não desempenhará a sua função natural que é selamento da porta de entrada de microorganismo, fungos etc…","28,29",https://biosculpture.pt/wp-content/uploads/2022/04/Alicate-Cuticula-Bio-Solinger-10cm-3mm-Aco-Inox.png
"French Stencil BIO Pack (8 Formas)","https://youtu.be/SEeulqUZDuM
\n
\n&nbsp;
\n
\nPode ser usado com o Gel de alto pigmento branco, Bio Sculpture No.1 – French White, EVO Gel Whitney. Depois de aplicar e curar o Gel Base por 30 segundos, limpe e coloque o círculo do adesivo French Stencil na unha, deixando a ponta livre.
\n
\nAplique o White High Pigment Gel usando uma esponja e remova o adesivo. Cure por um minuto e depois aplique o Soft Gel ou Base Gel sobre toda a unha para envolver o White High Pigment Gel e curar.
\n
\nComo alternativa, aplique Bio Sculpture No.1 – French White, ou EVO Gel Whitney. usando o seu pincel preferido. Cure por 30 segundos e remova o adesivo French Stencil. Finalize com Gloss Gel para completar a aparência.","3,67","https://biosculpture.pt/wp-content/uploads/2022/04/French-Stencil-Pack-8-Formas.png, https://biosculpture.pt/wp-content/uploads/2022/04/French-Stencil-Pack-8-Formas-2.png"
"BIO Bling Brushes - Pincel Ponta Recta No.4",,"17,71",https://biosculpture.pt/wp-content/uploads/2022/04/Bio-Bling-Brushes-Pincel-Ponta-Recta-No.png
"Corta Lados",,"4,80",https://biosculpture.pt/wp-content/uploads/2022/04/Corta-Lados.png
"Metal Plate","<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/8TkS47bm5ug"" width=""528"" height=""297"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>","12,55",https://biosculpture.pt/wp-content/uploads/2022/04/Metal-Plate.png
"BIO Bling Brushes - Pincel Ponta Redonda No.4",,"17,71",https://biosculpture.pt/wp-content/uploads/2022/04/Bio-Bling-Brushes-Pincel-Ponta-Redonda-No4.png
"BIO Bling Brushes - Pincel Ponta Recta No.6",,"20,25",https://biosculpture.pt/wp-content/uploads/2022/04/Bio-Bling-Brushes-Pincel-Ponta-Recta-No6.png
"Tesoura Prata de Ponta Reta",,"8,55",https://biosculpture.pt/wp-content/uploads/2022/04/Tesoura-Prata-de-Ponta-Reta.png
"Quadrados de Algodão - Cotton Squares 200unid.",,"6,27",https://biosculpture.pt/wp-content/uploads/2022/04/Quadrados-de-Algodao-Cotton-Squares-200unid.png
"Lima Negra Fina (Pack 6) 150/200grs",,"6,70",https://biosculpture.pt/wp-content/uploads/2022/04/Lima-Negra-Fina-Pack-6-150-200grs.png
"Escova de Unhas – Anel Bio",,"2,99",https://biosculpture.pt/wp-content/uploads/2022/04/Escova-de-Unhas-–-Anel-Bio.png
"Dotting Tools Bio",,"15,25","https://biosculpture.pt/wp-content/uploads/2022/04/816-Dotting-Tool-scaled.jpg, https://biosculpture.pt/wp-content/uploads/2022/04/816-Dotting-Tool.png"
"Empurra Cutículas Metálico (Recto)",,"6,95",https://biosculpture.pt/wp-content/uploads/2022/04/Empurra-Cuticulas-Metalico-Recto.png
"Lima Preta Adesiva/Descartável 240grs (Pack 50unid)",,"14,76",https://biosculpture.pt/wp-content/uploads/2022/04/Limas-Preta-Adesiva-Descartaveis-240GRS-Pack-50UNID.png
"Pau de Laranjeira (Madeira) (5unid)",,"2,12",https://biosculpture.pt/wp-content/uploads/2022/04/Pau-de-Laranjeira-Madeira-5UNID.png
"Empurra Cutículas Aço Inoxidável (Concha) Bio","Como utilizar o empurra cutículas:
\n
\n1. Coloque o ETHOS Cuticle Remover, para amolecer as cuticulas.
\n2. Empurre a cutícula na direção da base das unhas, não esquecendo os lados, podendo usar a ponta direita.
\n3. Se sentir ou visualizar alguma pele solta, mais rija ou espigão, após utilizar o empurrador de cutículas, pegue no corta lados para cortar essas cutículas mais teimosas.
\n4. Esterilize (esterilização a frio (líquido)/esterilização a alta temperatura) o empurrador de cutículas, para evitar qualquer possibilidade de contaminação.","14,30",https://biosculpture.pt/wp-content/uploads/2022/04/Empurra-Cuticulas-Aco-Inoxidavel-Concha-Bio.png
"BIO Bling Brushes - Pincel Ponta Redonda No.6",,"20,30",https://biosculpture.pt/wp-content/uploads/2022/04/Bio-Bling-Brushes-Pincel-Ponta-Redonda-No6.png
"Lima Azul Adesiva/Descartáveis 100grs (Pack 50unid)",,"14,76",https://biosculpture.pt/wp-content/uploads/2022/04/Limas-Azul-Adesiva-Descartaveis-100GRS-Pack-50UNID.png
"BIO Bling Brushes - Pincel Nail Art (Rosa)","<h4>BIO Bling Brushes - Pincel Nail Art Rosa</h4>
\n<h4>Descubra o pincel perfeito para dar asas à sua imaginação! BIO Pincel de Nairt Rosa</h4>
\nTransforme as suas unhas com toque de imaginação usando o Pincel Nail Art Rosa da marca BIO Sculpture. Este pincel foi especialmente projetado para proporcionar uma aplicação precisa e uniforme da sua criatividade, garantindo assim, resultados impressionantes.
\n
\nUma das vantagens do Pincel Nail Art Rosa é a sua versatilidade. Ele pode ser utilizado em conjunto com a Base Flex ou BIOgel Soft, proporcionando uma aderência e um encapsulamento perfeito e duradouro da sua arte. Além disso, dê asas à criatividade com arte, no look das unhas.
\n
\nSeja para uma ocasião especial ou para adicionar um toque de glamour ao seu dia a dia, o Pincel de Nail Art Rosa é o seu aliado perfeito. Com aplicação fácil e precisa permite que você crie looks personalizados e únicos.
\n
\nNão perca mais tempo! Experimente agora mesmo o Pincel Nail Art Rosa da BIO Sculpture e transforme suas unhas em verdadeiras obras de arte brilhantes. Adquira o seu pincel hoje mesmo e desfrute de unhas deslumbrantes com arte incomparável
\n
\n&nbsp;
\n<ul>
\n 	<li><strong><a href=""https://www.biosculpture.com/contact_us/"">Produto marca Sul Africana</a></strong>
\n<h2></h2>
\n</li>
\n</ul>
\n<ul>
\n 	<li>
\n<h2>Valores</h2>
